link,tag,importance_score
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-06-17-24/index.html,Israel-Hamas Conflict Escalation,9.5
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-06-13-24/index.html,Israel-Hamas Conflict Escalation,9.5
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-06-12-24-intl/index.html,Israel-Hamas Conflict Escalation,9.5
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-06-10-24/index.html,Israel-Hamas Conflict Escalation,9.5
https://www.cnn.com/2024/06/10/middleeast/israel-hamas-war-gaza-news-06-10-24/index.html,Israel-Hamas Conflict Escalation,9.5
https://www.cnbc.com/2024/08/26/oil-to-remain-elevated-as-middle-east-tensions-threaten-a-wider-conflict.html,Israel-Hamas Conflict Escalation,9.5
https://www.cnbc.com/2024/08/26/china-slams-us-for-placing-some-chinese-firms-on-export-control-list.html,China-US Tech and Trade Tensions,8.5
https://www.cnbc.com/2024/08/26/teslas-optimus-faces-humanoid-competition-at-beijing-robot-conference.html,China-US Tech and Trade Tensions,8.5
https://www.cnbc.com/2024/08/26/who-is-telegram-founder-pavel-durov-and-why-was-he-arrested.html,China-US Tech and Trade Tensions,8.5
https://www.cnn.com/business/live-news/jobs-report-june-07-05-24/index.html,US Economic Outlook and Policy,8.0
https://www.cnbc.com/2024/08/23/fed-chair-powell-indicates-interest-rate-cuts-ahead-the-time-has-come-for-policy-to-adjust.html,US Economic Outlook and Policy,8.0
https://www.cnbc.com/2024/08/23/us-bonds-treasury-yields-in-focus-amid-powells-jackson-hole-speech.html,US Economic Outlook and Policy,8.0
https://www.cnbc.com/2024/08/25/biden-zelensky-g7-summit-06-13-24/index.html,US Foreign Policy and Global Tensions,7.5
https://www.cnbc.com/2024/08/26/oil-to-remain-elevated-as-middle-east-tensions-threaten-a-wider-conflict.html,US Foreign Policy and Global Tensions,7.5
https://www.cnbc.com/2024/08/23/intel-intc-activist-defense-sources.html,Tech Industry Challenges and Innovations,7.0
https://www.cnbc.com/2024/08/23/microsoft-plans-september-cybersecurity-event-after-crowdstrike-outage.html,Tech Industry Challenges and Innovations,7.0
